date,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,r_and_d,marketing,employee_count
1995-01-19,11426,4886,3017,608,3523,2915,90,544,2281,1000058787,16151,8125,8026,6861,4304,373,2496,1327,3035,158,625,660
1995-01-20,17730,7638,4023,459,6069,5610,368,1081,4161,1000062948,16576,8859,7717,7611,3427,926,4890,1933,5903,436,609,775
1995-01-21,10471,5086,4999,609,386,-223,162,0,-385,1000062563,16737,6871,9866,8358,4381,469,1933,1060,4167,447,994,396
1995-01-22,15615,6117,3437,538,6061,5523,445,1334,3744,1000066307,18305,9975,8330,8618,3557,473,3964,1649,4857,192,435,432
1995-01-23,10010,4296,3062,428,2652,2224,182,498,1544,1000067851,10854,7366,3488,5719,1837,410,1762,941,2270,245,440,481
1995-01-24,13108,6245,4484,334,2379,2045,314,354,1377,1000069228,17186,10477,6709,8387,3521,448,3776,1137,3106,619,802,482
1995-01-25,12196,5038,4025,346,3133,2787,338,648,1801,1000071029,14104,6190,7914,7914,4221,617,3525,1500,5385,528,538,604
1995-01-26,11799,5361,4575,547,1863,1316,163,296,857,1000071886,16893,6908,9985,7127,5149,600,3147,884,7040,632,525,471
1995-01-27,10262,4638,3294,520,2330,1810,256,419,1135,1000073021,12903,8203,4700,7246,2545,643,2017,933,1911,342,443,539
1995-01-28,14003,6479,2422,673,5102,4429,210,924,3295,1000076316,13981,5822,8159,6196,4228,477,2395,1148,4789,325,562,768
1995-01-29,15001,6786,2362,687,5853,5166,256,986,3924,1000080240,16831,8599,8232,8604,4655,377,2325,1229,5539,132,272,496
1995-01-30,20742,11188,5628,785,3926,3141,604,550,1987,1000082227,26413,14106,12307,14843,7179,1516,4865,2129,4453,438,1080,373
1995-01-31,11410,4455,5119,466,1836,1370,162,333,875,1000083102,16809,8320,8489,9310,3831,224,3068,1196,4846,339,1064,599
1995-02-01,14692,6050,3811,451,4831,4380,340,830,3210,1000086312,20874,12336,8538,8871,5032,829,3163,1166,5948,292,536,499
1995-02-02,34859,15014,4988,738,14857,14119,437,3265,10417,1000096729,52028,21917,30111,21104,16832,996,7357,2781,16821,685,824,623
1995-02-03,16899,8868,2636,611,5395,4784,275,1027,3482,1000100211,15989,8072,7917,8776,4243,579,3261,1811,3763,204,551,677
1995-02-04,17563,9446,3702,984,4415,3431,181,678,2572,1000102783,15992,8257,7735,9475,3133,721,4596,2808,5954,510,765,520
1995-02-05,17256,8858,2842,677,5556,4879,91,1234,3554,1000106337,19283,10910,8373,10118,4049,814,4933,1728,3699,317,547,496
1995-02-06,7354,3304,5666,299,-1616,-1915,165,0,-2080,1000104257,8629,4157,4472,4965,2095,245,2086,682,2876,737,1235,251
1995-02-07,13216,5542,6143,318,1531,1213,270,239,704,1000104961,17415,7689,9726,9447,4641,301,2179,1038,3343,650,740,396
1995-02-08,6204,3065,3794,304,-655,-959,115,0,-1074,1000103887,9599,6638,2961,4615,1390,439,1745,519,2026,213,572,589
1995-02-09,20649,8960,3523,874,8166,7292,366,1694,5232,1000109119,29580,13604,15976,16106,7057,521,5908,1882,7341,365,730,678
1995-02-10,28941,15857,4329,827,8755,7928,372,1483,6073,1000115192,31232,13727,17505,17531,8904,1825,4601,4186,11681,313,944,628
1995-02-11,11889,5716,3760,250,2413,2163,342,409,1412,1000116604,14943,8356,6587,8199,2841,596,3202,1296,5223,197,581,500
1995-02-12,29801,16170,4612,1304,9019,7715,332,1721,5662,1000122266,34669,21192,13477,15831,5481,2058,6859,3668,8956,304,1082,414
1995-02-13,9417,5065,4034,275,318,43,103,0,-60,1000122206,12585,6646,5939,6244,3430,279,2695,938,1907,546,862,531
1995-02-14,9173,4574,2414,276,2185,1909,143,427,1339,1000123545,11930,7395,4535,6318,1838,460,2113,1248,1656,314,494,608
1995-02-15,18469,8871,3212,621,6386,5765,427,1445,3893,1000127438,18206,9620,8586,9834,4948,686,3236,1737,3506,182,396,708
1995-02-16,10703,5230,4241,526,1232,706,164,127,415,1000127853,16204,10954,5250,7760,2621,514,2362,1020,2594,261,808,363
1995-02-17,12184,4900,2474,494,4810,4316,195,851,3270,1000131123,18396,8069,10327,10100,5283,414,1882,1160,5815,278,611,558
1995-02-18,22992,10750,5554,485,6688,6203,432,1344,4427,1000135550,22523,13725,8798,9704,3694,1217,5904,2940,6235,484,1206,658
1995-02-19,10101,5507,4407,265,187,-78,92,0,-170,1000135380,15215,8353,6862,6776,4011,340,2749,952,2242,276,455,274
1995-02-20,13349,5972,2785,296,4592,4296,112,908,3276,1000138656,14436,5970,8466,7144,4677,354,2685,1177,6100,329,313,570
1995-02-21,14285,7435,3876,476,2974,2498,121,558,1819,1000140475,14333,8369,5964,7682,2852,837,2317,1887,3088,522,590,378
1995-02-22,17449,6133,4918,449,6398,5949,142,1514,4293,1000144768,21180,11108,10072,10446,4469,544,3524,1755,4982,677,969,464
1995-02-23,20136,8725,3753,666,7658,6992,269,1597,5126,1000149894,19267,12297,6970,10620,3761,922,5619,1675,2911,229,675,462
1995-02-24,14439,5806,4662,715,3971,3256,167,831,2258,1000152152,19629,10516,9113,9901,4097,578,2752,1574,5462,633,645,641
1995-02-25,9333,3565,3659,213,2109,1896,221,324,1351,1000153503,9677,5345,4332,5780,1986,330,1796,917,2480,477,665,572
1995-02-26,22618,11122,2623,762,8873,8111,533,1493,6085,1000159588,25198,13722,11476,10234,5026,1043,6302,2974,4152,371,622,461
1995-02-27,47777,25570,2658,2767,19549,16782,1081,3755,11946,1000171534,49996,25954,24042,25870,13310,3584,11856,6507,8969,325,322,333
1995-02-28,21034,8666,5023,1183,7345,6162,538,1140,4484,1000176018,23720,15626,8094,13021,3955,607,4927,1518,4371,404,860,743
1995-03-01,18989,9142,3947,465,5900,5435,503,1035,3897,1000179915,25798,14549,11249,11917,5348,612,5684,2454,5693,520,736,410
1995-03-02,13078,5996,4612,576,2470,1894,203,322,1369,1000181284,18413,8107,10306,7916,5994,348,2679,954,5057,450,960,653
1995-03-03,13762,5763,2606,784,5393,4609,356,1006,3247,1000184531,14922,10256,4666,8811,2251,775,2546,1459,2897,136,462,641
1995-03-04,8745,3621,8014,516,-2890,-3406,164,0,-3570,1000180961,9791,6643,3148,4764,1855,308,1573,750,2439,470,1986,845
1995-03-05,19546,10701,2515,691,6330,5639,514,1294,3831,1000184792,30753,17514,13239,15726,6261,1283,5294,2475,4070,336,390,647
1995-03-06,14483,7662,2863,327,3958,3631,107,706,2818,1000187610,16832,6791,10041,8074,5016,785,3026,1701,5903,379,712,870
1995-03-07,25634,12889,3760,996,8985,7989,508,1874,5607,1000193217,26472,17450,9022,14804,4296,650,7377,2541,4823,429,756,555
1995-03-08,10129,5502,3519,273,1108,835,140,156,539,1000193756,14789,6227,8562,6880,4994,542,1962,1050,6395,449,826,544
1995-03-09,26505,9316,7420,1564,9769,8205,233,2084,5888,1000199644,30503,13778,16725,18008,8990,1036,7613,2610,8098,409,1585,298
1995-03-10,13586,4823,4220,517,4543,4026,114,1007,2905,1000202549,15974,9645,6329,6750,3399,554,3462,1149,2003,249,984,520
1995-03-11,12060,5386,2311,474,4363,3889,69,749,3071,1000205620,11178,5760,5418,6461,2615,464,3040,999,1738,118,374,780
1995-03-12,12711,6678,3188,406,2845,2439,321,549,1569,1000207189,16634,7388,9246,8970,4463,380,2989,1990,4471,271,366,690
1995-03-13,12102,5445,4012,251,2645,2394,269,572,1553,1000208742,13994,6552,7442,5937,3895,670,2943,1451,5218,483,546,564
1995-03-14,6705,3648,5958,154,-2901,-3055,103,0,-3158,1000205584,9987,4718,5269,5004,2365,280,1823,555,3992,319,1232,545
1995-03-15,19990,9242,4343,815,6405,5590,168,1514,3908,1000209492,21953,11412,10541,8994,4342,596,3314,2045,4343,538,557,532
1995-03-16,21125,10139,4120,1102,6866,5764,248,1522,3994,1000213486,24497,16255,8242,11833,3348,826,5541,2585,2548,340,906,663
1995-03-17,25877,12536,5627,1194,7714,6520,525,1281,4714,1000218200,34712,19257,15455,14221,7790,1679,7397,1941,9663,296,913,560
1995-03-18,20598,7598,2886,1220,10114,8894,291,1814,6789,1000224989,32013,13193,18820,18220,8109,406,4061,1810,10320,223,422,812
1995-03-19,20219,7158,2601,1038,10460,9422,177,2188,7057,1000232046,23606,11513,12093,10484,5694,369,5962,1376,6654,273,620,459
1995-03-20,7956,4055,4402,260,-501,-761,116,0,-877,1000231169,8980,5882,3098,4917,1724,485,1855,709,1194,299,622,358
1995-03-21,16772,6160,6265,761,4347,3586,117,702,2767,1000233936,20630,11821,8809,10125,4800,542,3001,1145,6847,627,1299,835
1995-03-22,9917,4490,5221,349,206,-143,263,0,-406,1000233530,13173,8762,4411,6970,1768,641,2557,1008,1349,406,1261,568
1995-03-23,13970,5773,4493,823,3704,2881,71,631,2179,1000235709,19169,9632,9537,11124,5349,735,2864,1408,3941,259,665,699
1995-03-24,27336,11152,5294,603,10890,10287,806,2128,7353,1000243062,35751,21939,13812,17679,5740,1501,5768,2220,7970,481,587,569
1995-03-25,15854,5582,2912,827,7360,6533,135,1542,4856,1000247918,18184,12629,5555,9225,2246,282,3811,1092,3588,216,294,284
1995-03-26,5507,2868,3587,326,-948,-1274,148,0,-1422,1000246496,6495,2920,3575,2747,1829,340,897,532,1287,503,878,271
1995-03-27,10504,4962,3091,261,2451,2190,276,388,1526,1000248022,14898,10190,4708,7700,2378,672,2338,913,1748,308,489,600
1995-03-28,12507,6392,2665,419,3450,3031,333,715,1983,1000250005,12686,5410,7276,6877,2945,579,3003,1736,2798,183,497,594
1995-03-29,14352,5980,3201,389,5171,4782,166,1208,3408,1000253413,18941,9332,9609,10475,4137,399,3241,1699,6930,457,626,639
1995-03-30,22879,8881,2434,1320,11564,10244,651,1902,7691,1000261104,35632,17548,18084,18339,8544,1016,5952,1617,7451,354,497,845
1995-03-31,21989,11470,2516,1285,8003,6718,267,1354,5097,1000266201,31522,19884,11638,13276,5734,603,6125,1982,6134,277,517,547
1995-04-01,21791,11627,3316,1086,6848,5762,506,1038,4218,1000270419,29958,19577,10381,16607,4585,635,3412,2719,4480,175,715,612
1995-04-02,17293,6860,2974,677,7459,6782,162,1813,4807,1000275226,22347,13245,9102,9898,4035,803,3694,1750,4921,151,690,527
1995-04-03,14014,6469,5690,399,1855,1456,262,301,893,1000276119,16687,7278,9409,9451,5139,704,2662,1605,3285,566,1107,796
1995-04-04,13656,5738,3309,328,4609,4281,396,1010,2875,1000278994,13356,7123,6233,5348,3428,428,2822,1000,3653,361,496,378
1995-04-05,18772,9656,4437,1058,4679,3621,509,729,2383,1000281377,27693,15612,12081,16563,7221,1066,5143,1659,4564,441,592,712
1995-04-06,22960,11053,4521,1035,7386,6351,520,1418,4413,1000285790,26561,15396,11165,14292,6561,1097,5766,2812,5063,480,825,559
1995-04-07,29425,13343,3550,1647,12532,10885,462,2753,7670,1000293460,34775,21616,13159,18725,5726,1501,6968,3170,7400,422,854,546
1995-04-08,16426,6176,4308,611,5942,5331,193,1295,3843,1000297303,15285,7701,7584,7664,3449,332,3762,1245,4048,265,439,548
1995-04-09,17812,8723,2426,994,6663,5669,414,1448,3807,1000301110,16126,7044,9082,7380,4676,1113,2870,1367,6578,186,517,417
1995-04-10,28694,12094,3765,977,12835,11858,801,2104,8953,1000310063,38963,24636,14327,22387,8129,1715,4854,2262,6560,518,429,704
1995-04-11,10260,4217,3542,379,2501,2122,296,411,1415,1000311478,13326,6967,6359,6451,2583,620,2801,960,3374,476,836,885
1995-04-12,22020,10329,4285,824,7406,6582,456,1539,4587,1000316065,21615,8823,12792,12057,5992,994,5545,2827,5431,365,643,396
1995-04-13,11574,6099,2264,523,3211,2688,192,576,1920,1000317985,14474,8208,6266,7533,3306,813,2792,1576,3398,266,452,797
1995-04-14,30022,15032,2653,1163,12337,11174,566,2600,8008,1000325993,37202,17210,19992,18489,11234,825,6948,3756,6573,367,515,399
1995-04-15,27859,14865,3145,798,9849,9051,794,2206,6051,1000332044,40079,17295,22784,20202,10994,1430,7433,4120,12832,188,767,616
1995-04-16,30664,13460,3706,1661,13498,11837,388,2594,8855,1000340899,44353,30267,14086,24973,7589,991,5596,4016,6159,437,617,581
1995-04-17,29435,15592,6534,1153,7309,6156,627,1280,4249,1000345148,34294,16604,17690,20057,9336,1427,7367,3578,9041,606,1319,730
1995-04-18,22245,9341,5714,747,7190,6443,143,1260,5040,1000350188,20483,11763,8720,9914,4775,881,3491,1906,4043,559,583,449
1995-04-19,10558,3885,4038,458,2635,2177,71,418,1688,1000351876,13869,8765,5104,6378,2671,340,2526,732,1704,566,582,632
1995-04-20,19382,7975,3148,1067,8259,7192,291,1486,5415,1000357291,23198,14241,8957,10735,4690,944,4854,2200,5424,201,599,612
1995-04-21,22759,11132,3648,513,7979,7466,491,1492,5483,1000362774,20495,12387,8108,11240,4103,1440,3828,1950,2467,491,852,484
1995-04-22,19256,7439,5585,602,6232,5630,505,1075,4050,1000366824,18069,12333,5736,7836,3128,687,5724,1243,2411,466,922,887
1995-04-23,15200,7305,3833,550,4062,3512,276,601,2635,1000369459,21426,9041,12385,9680,6584,686,3083,1727,3895,410,917,676
1995-04-24,16946,8596,3869,515,4481,3966,337,773,2856,1000372315,22192,13463,8729,9406,3923,763,3508,1296,2882,303,833,765
1995-04-25,18586,8464,6394,604,3728,3124,122,755,2247,1000374562,22858,12838,10020,9547,4619,532,5527,1650,5272,481,1126,698
1995-04-26,10559,4327,3948,323,2284,1961,196,397,1368,1000375930,13948,6535,7413,7987,3855,321,2534,679,5012,436,655,779
1995-04-27,20890,10877,2313,981,7700,6719,572,1224,4923,1000380853,28159,17740,10419,13277,5319,1319,3371,2210,7320,253,242,691
1995-04-28,19878,7542,3029,980,9307,8327,360,1876,6091,1000386944,25190,13761,11429,12732,4761,948,5908,1467,5526,405,677,565
1995-04-29,15105,8267,5954,448,884,436,83,86,267,1000387211,15819,9643,6176,7511,3687,1093,4038,1501,3868,792,1078,622
1995-04-30,20798,9307,4487,1002,7004,6002,483,1529,3990,1000391201,23649,14340,9309,10748,5512,1229,6134,2325,7171,289,615,586
1995-05-01,25359,10670,2754,892,11935,11043,280,2741,8022,1000399223,36659,19014,17645,18475,8827,950,6915,1814,10854,291,654,791
1995-05-02,10601,4987,4820,502,794,292,152,35,105,1000399328,14766,9395,5371,7923,3049,384,3163,1457,2376,266,572,541
1995-05-03,28670,11017,3812,634,13841,13207,845,3275,9087,1000408415,26589,15343,11246,13854,5216,1450,6171,2684,5434,454,748,495
1995-05-04,23904,10065,3646,1199,10193,8994,518,2289,6187,1000414602,30929,20393,10536,17601,5563,1048,5018,2625,3991,291,740,455
1995-05-05,23804,12289,2597,671,8918,8247,143,1952,6152,1000420754,33308,20323,12985,15739,6845,1031,5081,3650,7887,342,632,433
1995-05-06,23717,8871,5320,737,9526,8789,350,2315,6124,1000426878,37887,22023,15864,15652,7540,1009,5781,2641,12106,361,981,680
1995-05-07,21176,9444,5506,609,6226,5617,165,996,4456,1000431334,25582,16086,9496,13291,5428,698,6029,2487,5714,438,1269,677
1995-05-08,15914,7099,1422,529,7393,6864,243,1802,4819,1000436153,19334,9918,9416,9011,5196,565,2931,1911,3716,173,165,602
1995-05-09,11863,6237,5110,505,516,11,141,0,-130,1000436023,10899,6938,3961,5416,2214,534,2807,1821,1538,424,895,467
1995-05-10,19520,9448,2320,650,7752,7102,448,1524,5130,1000441153,17973,7341,10632,9284,4695,1192,3939,1926,3385,280,304,533
1995-05-11,16766,7125,3999,580,5642,5062,500,1030,3532,1000444685,18882,10821,8061,10694,3873,800,3539,1250,5916,408,968,772
1995-05-12,12043,4355,5461,634,2227,1593,251,289,1053,1000445738,12261,6683,5578,7134,3335,307,3310,825,2246,435,987,520
1995-05-13,32120,14521,2672,747,14927,14180,210,3495,10475,1000456213,48126,30562,17564,27486,8963,736,8651,3844,11002,262,561,1014
1995-05-14,22232,11743,8936,1226,1553,327,581,0,-254,1000455959,32499,17419,15080,15821,6980,1506,4451,2787,8627,1165,1068,613
1995-05-15,14022,7338,5898,404,786,382,258,23,101,1000456060,21118,13591,7527,11987,3405,647,3129,1330,2571,721,1117,560
1995-05-16,8456,3908,3281,201,1267,1066,192,233,641,1000456701,10668,6446,4222,5887,1779,319,2511,1110,2127,427,402,695
1995-05-17,11347,5057,3017,584,3273,2689,246,667,1776,1000458477,12374,5129,7245,6625,3718,410,2335,1125,5482,220,702,802
1995-05-18,19283,9173,3047,1051,7063,6012,396,1371,4245,1000462722,19978,9305,10673,8522,5728,1223,4428,2702,5845,302,337,631
1995-05-19,14300,6693,3527,826,4080,3254,280,815,2159,1000464881,17409,11401,6008,9193,2703,1001,3669,1144,3677,203,446,245
1995-05-20,9355,3663,5103,329,589,260,200,16,44,1000464925,10622,6365,4257,5840,2315,341,2531,809,2940,471,943,530
1995-05-21,17623,9502,4083,663,4038,3375,304,593,2478,1000467403,22292,13281,9011,9557,4372,1199,4939,2029,7136,328,697,752
1995-05-22,14857,7103,3775,872,3979,3107,126,622,2359,1000469762,19884,9222,10662,11310,5129,478,4309,1520,6774,257,800,480
1995-05-23,13469,5262,8001,758,206,-552,276,0,-828,1000468934,12914,5895,7019,6690,4166,583,3132,1172,3250,667,1469,231
1995-05-24,9611,3804,5200,471,607,136,109,6,21,1000468955,12589,7303,5286,7174,2121,466,2041,1030,3260,307,669,526
1995-05-25,18069,8676,4736,556,4657,4101,263,1041,2797,1000471752,19034,10481,8553,10533,3896,1014,4984,2422,6019,574,1146,784
1995-05-26,10286,4186,3046,248,3054,2806,193,514,2099,1000473851,13853,6737,7116,5576,4246,479,2771,944,2939,413,725,403
1995-05-27,14499,6785,3692,597,4022,3425,411,551,2463,1000476314,16594,11285,5309,8340,2365,487,2302,1630,2294,335,435,772
1995-05-28,25098,11377,3870,1415,9851,8436,567,1513,6356,1000482670,25856,12912,12944,13626,6240,1431,6416,2613,7786,444,672,354
1995-05-29,25938,9653,3675,839,12610,11771,176,2227,9368,1000492038,30241,20805,9436,16701,5140,1348,5149,2020,4691,251,477,725
1995-05-30,14970,5373,3097,443,6500,6057,376,1038,4643,1000496681,19681,12019,7662,8443,3308,767,3819,1585,3977,241,739,603
1995-05-31,4594,2053,2117,194,424,230,85,41,104,1000496785,5898,3923,1975,2424,1014,221,1176,593,1275,310,483,413
1995-06-01,21285,9689,6608,633,4988,4355,212,1095,3048,1000499833,30693,19235,11458,18247,6531,1161,3875,2588,8449,796,1458,703
1995-06-02,10844,5706,4881,570,257,-313,315,0,-628,1000499205,13311,5766,7545,7109,3346,393,2750,1120,5331,298,706,477
1995-06-03,8999,4378,4007,200,614,414,179,61,174,1000499379,10649,4569,6080,5422,3429,236,1890,1136,3959,252,412,639
1995-06-04,21110,11275,3048,977,6787,5810,529,1433,3848,1000503227,20386,8594,11792,8553,6753,1338,3442,2811,8822,451,722,675
1995-06-05,7487,3364,2898,356,1225,869,180,129,560,1000503787,11392,6512,4880,4984,2787,422,1697,770,2602,390,697,581
1995-06-06,20848,10801,3363,714,6684,5970,381,1497,4092,1000507879,25772,16304,9468,11363,3897,883,3134,1981,6065,396,393,593
1995-06-07,22500,11297,2667,1240,8536,7296,134,1910,5252,1000513131,24571,16515,8056,13082,3734,843,3852,2450,2532,215,422,378
1995-06-08,19139,10168,4562,609,4409,3800,150,810,2840,1000515971,27934,16976,10958,13020,4905,1104,5299,2269,8483,520,746,724
1995-06-09,17008,8513,5594,477,2901,2424,433,482,1509,1000517480,16903,9170,7733,8797,4559,753,4844,1423,4846,625,802,459
1995-06-10,14942,8179,3335,387,3428,3041,441,486,2114,1000519594,14334,6406,7928,6162,4211,805,2471,1927,4269,353,501,636
1995-06-11,12867,6481,4171,345,2215,1870,262,356,1252,1000520846,16403,8960,7443,7085,3729,596,1959,1678,3873,241,952,676
1995-06-12,10121,5532,3972,517,617,100,202,0,-102,1000520744,12944,6836,6108,5929,3546,366,2695,989,4314,307,468,882
1995-06-13,40202,18947,3191,1419,18064,16645,1191,3202,12252,1000532996,63726,26856,36870,27006,20269,951,7134,4215,12579,393,372,587
1995-06-14,13037,5053,3632,517,4352,3835,283,781,2771,1000535767,18531,7944,10587,9093,6071,674,3762,1196,3970,505,688,747
1995-06-15,10755,4614,4120,301,2021,1720,76,443,1201,1000536968,11588,7391,4197,5412,1823,685,2377,1246,3308,264,866,721
1995-06-16,14977,5838,3704,390,5435,5045,113,1311,3621,1000540589,14327,6523,7804,6910,3369,814,2780,1751,4128,543,860,365
1995-06-17,19569,9568,3366,758,6635,5877,122,1041,4714,1000545303,19512,8051,11461,8757,6077,628,5636,1778,7857,370,376,754
1995-06-18,23343,8971,3999,1214,10373,9159,148,2378,6633,1000551936,23015,11308,11707,10022,6145,1299,4257,1831,4914,350,908,489
1995-06-19,14152,7670,3813,785,2669,1884,278,377,1229,1000553165,18765,10453,8312,8335,4488,882,3444,1950,3734,198,390,542
1995-06-20,14354,7028,3725,736,3601,2865,351,528,1986,1000555151,17912,12354,5558,7817,2582,1038,2292,1554,4273,406,829,626
1995-06-21,11231,4308,3278,543,3645,3102,122,819,2161,1000557312,12777,5480,7297,5663,3992,635,1989,1014,4909,275,404,476
1995-06-22,13954,6072,4020,562,3862,3300,359,777,2164,1000559476,19153,12319,6834,8781,4097,786,4122,1581,5139,254,409,684
1995-06-23,21832,10225,6943,572,4664,4092,342,914,2836,1000562312,32307,17329,14978,16100,7055,1002,6069,2972,6604,645,962,477
1995-06-24,15051,5378,3658,853,6015,5162,343,1214,3605,1000565917,19681,10516,9165,8468,3783,427,3373,1580,5750,514,796,403
1995-06-25,13309,5425,4334,277,3550,3273,152,565,2556,1000568473,17768,11132,6636,8477,3208,303,2836,1360,2332,306,650,763
1995-06-26,16489,8309,4276,912,3904,2992,275,692,2025,1000570498,19665,12693,6972,11361,3871,493,2615,1481,4172,232,730,540
1995-06-27,11253,4413,3836,507,3004,2497,136,600,1761,1000572259,17850,7434,10416,8951,5099,401,2105,1275,5462,248,658,521
1995-06-28,6484,3111,4216,162,-843,-1005,130,0,-1135,1000571124,6826,4166,2660,3161,1165,464,1623,541,1181,268,761,642
1995-06-29,12637,6279,5659,548,699,151,71,22,58,1000571182,12595,6790,5805,5980,3360,420,3465,1874,4569,813,684,727
1995-06-30,4640,1983,4737,195,-2080,-2275,123,0,-2398,1000568784,5715,3641,2074,2686,1221,185,903,582,1326,499,477,568
1995-07-01,13783,5622,4538,699,3623,2924,129,666,2129,1000570913,17670,11160,6510,7999,3109,742,3496,1200,4036,659,568,560
1995-07-02,18045,7635,5443,954,4967,4013,480,649,2884,1000573797,27287,13245,14042,12373,5910,597,5148,1321,5993,602,771,650
1995-07-03,22697,10299,4128,1142,8270,7128,214,1600,5314,1000579111,28125,17305,10820,14182,5144,701,3839,2004,3439,466,686,768
1995-07-04,18880,9427,5087,661,4366,3705,377,659,2669,1000581780,24857,14858,9999,12996,5723,1281,3632,2245,4588,581,721,741
1995-07-05,15482,6318,3341,717,5823,5106,380,1008,3718,1000585498,23025,15899,7126,13563,3187,380,3652,1651,4013,257,525,648
1995-07-06,10113,5283,4315,586,515,-71,72,0,-143,1000585355,14778,6999,7779,7954,3157,357,2973,1090,5459,589,946,499
1995-07-07,9811,3558,3665,518,2588,2070,266,416,1388,1000586743,12627,8249,4378,5302,2118,475,1791,706,1355,525,550,592
1995-07-08,13986,7032,4572,493,2382,1889,305,364,1220,1000587963,17215,10703,6512,9312,3176,358,2998,2103,1955,552,715,598
1995-07-09,10751,5359,4620,577,772,195,179,3,13,1000587976,12212,5651,6561,5478,3858,771,2240,1203,3549,568,689,647
1995-07-10,10330,4628,4230,565,1472,907,117,189,601,1000588577,11947,4884,7063,7080,3121,275,2616,1107,3794,501,940,567
1995-07-11,15437,7862,3654,737,3921,3184,81,827,2276,1000590853,21144,11433,9711,12277,5244,817,2859,1827,6442,198,428,689
1995-07-12,10775,5598,5077,379,100,-279,216,0,-495,1000590358,10827,4975,5852,5864,2845,351,2522,1271,4048,412,648,797
1995-07-13,7316,2844,3945,275,527,252,43,50,159,1000590517,7010,3461,3549,3828,1524,248,1220,458,2345,555,818,795
1995-07-14,13852,6734,2354,611,4764,4153,123,883,3147,1000593664,21401,10817,10584,11206,4292,715,4036,1813,6518,293,513,1131
1995-07-15,10328,5072,3837,225,1419,1194,261,195,738,1000594402,11129,7263,3866,5458,2087,257,3077,987,1467,541,657,869
1995-07-16,18555,9607,3546,707,5402,4695,522,855,3318,1000597720,22967,10035,12932,13062,7727,1404,5463,2846,6693,398,412,643
1995-07-17,25287,9981,3208,1370,12098,10728,720,2217,7791,1000605511,31283,15461,15822,14205,8347,1358,4331,2568,9205,298,370,585
1995-07-18,20403,8461,6159,1145,5783,4638,344,1132,3162,1000608673,26655,11982,14673,15430,5935,479,3846,2100,6024,784,737,708
1995-07-19,17908,9158,2155,922,6595,5673,390,1272,4011,1000612684,20128,12693,7435,8430,3997,1008,4115,2193,3339,239,278,537
1995-07-20,25943,11135,3433,960,11375,10415,649,2018,7748,1000620432,32932,17459,15473,16668,8527,818,6225,2843,6449,270,596,799
