week,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,capex,dividends,r_and_d,marketing_expense,employee_count
2005-07-24,12001,5840,3430,545,2731,2186,343,366,1477,500071753,12977,6984,5993,5548,3211,830,1825,1692,3331,571,139,513,768,214
2005-07-31,10439,4692,2280,291,3467,3176,307,589,2280,500074033,14574,7965,6609,7614,3269,535,2122,1187,4298,352,338,154,373,173
2005-08-07,27453,13001,4410,782,10042,9260,396,1956,6908,500080941,28837,11730,17107,12495,9921,875,5275,2017,12451,928,739,285,608,228
2005-08-14,12840,6725,4258,278,1857,1579,361,266,952,500081893,11918,7223,4695,6027,2194,795,2431,1835,2505,413,67,603,1054,174
2005-08-21,8354,3877,3003,275,1474,1199,156,271,772,500082665,8695,4245,4450,4504,2042,359,1532,698,3193,199,61,415,437,146
2005-08-28,17536,6244,5053,743,6239,5496,206,1194,4096,500086761,17975,10209,7766,8261,4462,682,4496,1479,3019,590,489,269,751,159
2005-09-04,7677,4116,4965,417,-1404,-1821,173,0,-1994,500084767,8724,4277,4447,3551,2488,508,1249,906,1688,170,0,621,1234,160
2005-09-11,13513,6593,2671,631,4249,3618,290,688,2640,500087407,16120,7256,8864,6568,4459,669,3530,1404,5573,254,179,309,321,136
2005-09-18,5652,2743,2843,211,66,-145,168,0,-313,500087094,7099,3707,3392,2877,1445,360,1436,778,2493,177,0,360,609,246
2005-09-25,7264,2856,3207,422,1201,779,84,135,560,500087654,8962,4209,4753,4910,2106,349,1363,616,3547,355,77,319,771,181
2005-10-02,13380,6446,3086,653,3848,3195,292,700,2203,500089857,14577,8170,6407,6758,3404,719,2514,1040,3984,680,312,460,546,172
2005-10-09,16673,7149,5288,954,4236,3282,105,752,2425,500092282,15346,7054,8292,8582,3955,465,4074,2087,4666,434,188,288,531,189
2005-10-16,13368,6420,3472,549,3476,2927,105,710,2112,500094394,17693,9776,7917,8605,4491,858,3534,1849,3687,632,185,255,543,320
2005-10-23,12018,4463,4009,365,3546,3181,61,854,2266,500096660,14145,6326,7819,6940,4613,641,3383,1128,6177,200,263,359,468,116
2005-10-30,11279,5432,2052,249,3795,3546,338,870,2338,500098998,12509,7522,4987,6287,2798,346,3134,1196,2293,578,194,195,333,132
2005-11-06,7134,3923,4967,350,-1756,-2106,179,0,-2285,500096713,10750,6731,4019,5833,1911,388,2103,643,2701,352,0,706,1085,107
2005-11-13,9806,3527,2615,244,3664,3420,242,650,2528,500099241,13951,6042,7909,6344,4411,268,2326,947,4476,575,154,277,434,166
2005-11-20,11057,6031,3938,355,1088,733,196,104,433,500099674,16590,8964,7626,7039,3586,757,3166,973,4608,693,23,215,649,192
2005-11-27,20655,8910,4422,853,7323,6470,258,1306,4906,500104580,25746,10846,14900,13162,6458,1088,5603,1428,7401,522,348,401,812,158
2005-12-04,15822,8293,5976,674,1553,879,139,199,541,500105121,15690,9092,6598,7302,2683,531,4497,1912,5162,489,43,548,1119,156
2005-12-11,6948,3519,2548,306,881,575,84,136,355,500105476,9639,4620,5019,4709,2395,485,1054,612,2940,467,22,373,582,192
2005-12-18,16337,7571,1532,435,7234,6799,235,1746,4818,500110294,17060,9524,7536,9031,4376,516,4818,1144,5794,232,273,168,224,162
2005-12-25,12555,6248,4225,442,2082,1640,300,256,1084,500111378,15177,8427,6750,7571,3023,811,2775,1334,2051,566,136,480,943,204
2006-01-01,11401,5994,7350,509,-1943,-2452,211,0,-2663,500108715,10780,7301,3479,5649,1535,574,3075,1022,2040,523,0,892,1359,246
2006-01-08,19474,8390,6390,1145,4694,3549,135,759,2655,500111370,28777,16251,12526,14643,7440,695,3293,1461,8250,634,375,812,927,226
2006-01-15,23481,9754,3993,1153,9734,8581,128,1529,6924,500118294,23203,13339,9864,12714,3995,642,4917,1576,6634,1032,601,453,576,238
2006-01-22,22986,11114,3461,1308,8411,7103,174,1554,5375,500123669,35218,18331,16887,19060,9409,742,4384,2009,12707,1667,629,255,534,250
2006-01-29,11522,5894,4813,582,815,233,176,11,46,500123715,17340,11873,5467,8789,2538,685,2232,1517,1652,692,3,661,931,211
2006-02-05,14479,7275,2776,632,4428,3796,410,794,2592,500126307,17740,11232,6508,9505,2652,764,2440,1974,1953,342,192,342,374,191
2006-02-12,18990,9677,4910,526,4403,3877,398,744,2735,500129042,26986,13105,13881,15509,8100,602,5144,2108,7442,630,294,610,1169,162
2006-02-19,24909,10888,4906,1162,9115,7953,624,1666,5663,500134705,33219,21701,11518,16160,4929,667,3771,2461,3624,380,601,734,914,183
2006-02-26,14088,7235,5306,633,1547,914,235,164,515,500135220,20599,10912,9687,9940,4944,414,2774,1121,7626,891,65,691,1263,178
2006-03-05,16008,5988,8987,706,1033,327,225,27,75,500135295,19246,12483,6763,10640,3076,745,2820,960,2780,847,9,1195,961,242
2006-03-12,11171,5126,4230,442,1815,1373,86,317,970,500136265,16199,10479,5720,8367,2363,621,2663,967,3068,572,114,614,640,225
2006-03-19,10849,3810,3814,446,3225,2779,292,556,1931,500138196,13276,6063,7213,5499,2957,213,2041,882,2384,320,183,248,394,244
2006-03-26,24348,10102,4534,813,9712,8899,598,2174,6127,500144323,37951,23163,14788,21952,6257,1071,4598,2636,8296,496,852,452,639,153
2006-04-02,30352,12848,2280,1238,15224,13986,279,3709,9998,500154321,37650,18343,19307,15292,7998,751,6776,3093,9460,1511,1122,246,523,284
2006-04-09,17160,7366,3219,479,6575,6096,306,1112,4678,500158999,21001,10275,10726,11544,5922,1034,4254,1538,3457,820,697,267,340,193
2006-04-16,26363,12894,3986,1376,9483,8107,453,1785,5869,500164868,38214,18683,19531,21085,9709,1814,4434,2163,9132,1777,774,534,659,161
2006-04-23,20338,8699,3901,558,7738,7180,420,1409,5351,500170219,30001,18531,11470,17719,5375,1042,3586,2324,5686,1177,291,492,459,196
2006-04-30,13534,5951,4341,317,3242,2925,388,469,2068,500172287,17434,8176,9258,7162,4478,849,2532,1217,7360,752,170,530,706,344
2006-05-07,20115,7996,3003,753,9116,8363,392,1968,6003,500178290,20635,8260,12375,10717,7249,1049,5955,2082,4999,822,643,450,678,202
2006-05-14,31948,13567,5377,1480,13004,11524,591,2911,8022,500186312,39214,24100,15114,19041,8799,1802,6695,3079,8651,1381,980,408,1040,207
2006-05-21,16860,6667,4302,632,5891,5259,106,1011,4142,500190454,26599,12006,14593,12399,7926,713,4044,1739,11582,720,435,531,906,215
2006-05-28,31627,11532,4145,983,15950,14967,208,3856,10903,500201357,45135,19469,25666,18869,14808,930,5890,3299,17864,2080,1402,436,632,219
2006-06-04,5858,2757,3494,248,-393,-641,57,0,-698,500200659,8598,4052,4546,4407,2109,198,1310,794,3622,310,0,284,844,189
2006-06-11,22894,11073,4542,776,7279,6503,133,1729,4641,500205300,21131,10861,10270,10477,4891,916,3689,2550,8053,548,317,300,937,237
2006-06-18,16816,7969,4938,964,3909,2945,397,526,2022,500207322,20642,11204,9438,8688,4934,899,2610,1807,5142,275,112,689,806,286
2006-06-25,14190,6282,3490,807,4418,3611,328,888,2395,500209717,19194,7934,11260,10029,5908,423,3126,1193,7299,415,257,382,572,249
2006-07-02,16327,6955,3385,655,5987,5332,137,1102,4093,500213810,24181,16713,7468,13241,3707,528,3425,2020,2653,768,486,448,805,180
2006-07-09,6992,3654,3563,232,-225,-457,181,0,-638,500213172,6534,4017,2517,3616,1208,354,1192,799,1310,137,0,372,664,220
2006-07-16,13951,6331,2926,690,4694,4004,124,718,3162,500216334,20881,10377,10504,12133,6273,464,3532,1071,7400,394,352,211,603,211
2006-07-23,17290,7709,3305,371,6276,5905,217,1049,4639,500220973,22198,11002,11196,10697,6317,839,5169,1657,6188,690,256,277,537,243
2006-07-30,26649,9464,4102,1039,13083,12044,299,2960,8785,500229758,27665,14789,12876,16339,6271,1347,5579,1600,8387,465,526,362,548,309
2006-08-06,11815,4942,5680,395,1193,798,169,141,488,500230246,13257,7793,5464,7597,2980,617,2879,1114,3677,557,59,837,1184,237
2006-08-13,10376,4421,4484,590,1471,881,118,157,606,500230852,11386,5054,6332,5230,2874,516,3055,1035,2702,334,53,227,857,241
2006-08-20,11586,4979,4800,237,1807,1570,200,273,1097,500231949,14733,6728,8005,6363,3362,539,3183,999,5906,486,128,713,841,336
2006-08-27,20205,9416,5366,851,5423,4572,307,1053,3212,500235161,18916,12444,6472,9214,3045,930,4436,1514,3430,301,428,794,1039,293
2006-09-03,15838,7234,4527,786,4077,3291,470,508,2313,500237474,16012,7636,8376,7692,4025,497,4128,2109,3393,368,313,677,594,280
2006-09-10,11160,5263,4793,440,1104,664,71,155,438,500237912,16393,8427,7966,8445,3213,734,1888,1400,5837,433,29,468,1050,351
2006-09-17,16863,8482,4290,395,4091,3696,144,668,2884,500240796,16742,11073,5669,8650,3191,635,3825,2340,2885,709,284,628,1039,279
2006-09-24,14249,7304,4326,839,2619,1780,90,337,1353,500242149,15152,9075,6077,8334,2867,432,2734,1498,4103,618,167,387,1011,157
2006-10-01,20205,9974,3638,823,6593,5770,417,1170,4183,500246332,24597,12360,12237,12347,6315,1247,3519,2634,7024,465,533,191,539,300
2006-10-08,10390,5622,2261,463,2507,2044,66,452,1526,500247858,13112,7934,5178,5520,2148,380,2223,1253,2542,454,196,164,364,180
2006-10-15,12138,4293,4499,358,3346,2988,315,576,2097,500249955,17412,7068,10344,9954,4500,374,2059,773,7292,344,153,650,995,284
2006-10-22,11926,4641,6403,469,882,413,212,43,158,500250113,14468,8980,5488,6684,3172,245,3039,783,3250,717,11,329,1212,177
2006-10-29,7851,2760,5529,292,-438,-730,143,0,-873,500249240,11407,6229,5178,6779,2702,176,1715,557,2565,549,0,578,1007,241
2006-11-05,16073,7707,6306,370,2060,1690,306,338,1046,500250286,21423,13795,7628,9074,4501,519,3692,1315,2706,697,130,363,1507,248
2006-11-12,16081,8517,6999,390,565,175,149,5,21,500250307,15746,10808,4938,9316,2962,472,2765,2553,3692,598,2,550,1263,230
2006-11-19,14753,5882,4205,789,4666,3877,147,832,2898,500253205,14892,10093,4799,6228,2277,680,2522,926,1525,626,175,247,745,253
2006-11-26,13642,7304,4689,404,1649,1245,177,286,782,500253987,16451,11068,5383,7341,2475,977,3240,1579,3938,639,95,637,498,323
2006-12-03,8667,3138,3595,241,1934,1693,172,320,1201,500255188,10208,5652,4556,4178,2605,274,2581,684,2187,388,96,392,397,238
2006-12-10,13155,7063,4377,529,1715,1186,135,199,852,500256040,18686,9493,9193,10110,5513,971,2163,1378,5697,903,57,614,443,303
2006-12-17,13845,5819,4950,703,3076,2373,109,579,1685,500257725,18089,9759,8330,10312,4381,415,2670,1372,6340,612,109,588,1173,229
2006-12-24,11755,4353,6081,264,1321,1057,344,172,541,500258266,13773,8360,5413,6705,3026,359,3296,751,2034,488,44,895,981,269
2006-12-31,15499,6931,4539,668,4029,3361,86,776,2499,500260765,15802,10511,5291,9255,2944,451,2493,1855,3087,695,273,458,773,297
2007-01-07,19820,7955,3590,491,8275,7784,497,1351,5936,500266701,20985,9697,11288,10871,5317,891,5577,1590,7701,772,510,409,814,232
2007-01-14,36551,14875,4516,784,17160,16376,903,3003,12470,500279171,47620,32165,15455,25048,7957,1368,8357,3551,10491,1872,649,486,864,218
2007-01-21,18774,7725,5363,415,5686,5271,233,1220,3818,500282989,22461,14477,7984,12782,4524,860,3966,1988,4494,435,228,528,1027,310
2007-01-28,19748,10083,2846,1054,6819,5765,166,1124,4475,500287464,24891,17266,7625,11434,4099,1272,3880,2857,4669,619,354,383,411,344
2007-02-04,17575,8046,2235,434,7294,6860,152,1546,5162,500292626,17917,11898,6019,8436,2433,841,3420,2216,4085,285,599,256,503,285
2007-02-11,8530,3517,3885,186,1128,942,191,176,575,500293201,11635,5631,6004,6762,2806,397,1671,848,4326,352,34,506,485,268
2007-02-18,18429,8700,2950,691,6779,6088,388,1188,4512,500297713,27584,11910,15674,16004,6723,1249,5210,1812,10673,779,479,379,319,300
2007-02-25,19306,9522,3982,1038,5802,4764,474,1179,3111,500300824,20861,9047,11814,12418,5276,761,4992,2147,5635,1041,193,275,513,297
2007-03-04,50997,20630,4649,1555,25718,24163,1450,6002,16711,500317535,63443,30920,32523,36820,18899,1772,12773,5473,25965,2186,1189,535,652,308
2007-03-11,17777,7692,4214,655,5871,5216,396,1216,3604,500321139,28139,16440,11699,11972,4766,937,4796,2166,6051,1167,242,295,600,171
2007-03-18,21801,8162,6615,471,7024,6553,194,1194,5165,500326304,24706,15844,8862,13953,3934,907,4111,1351,2767,577,293,717,1327,246
2007-03-25,19146,7395,4723,727,7028,6301,212,1161,4928,500331232,25206,16882,8324,12148,3845,502,4647,1536,4006,1090,577,556,627,259
2007-04-01,12198,5931,4815,526,1452,926,318,139,469,500331701,11748,6898,4850,7027,2538,520,2671,1580,1765,407,45,721,970,311
2007-04-08,30776,11888,5416,1318,13472,12154,315,2321,9518,500341219,40754,16370,24384,20151,12358,1151,8228,2553,8796,1544,1267,287,616,314
2007-04-15,26294,11965,3230,876,11099,10223,179,2790,7254,500348473,25314,11541,13773,12930,6110,1100,5164,2391,6071,551,434,191,394,338
2007-04-22,26630,13097,6563,869,6970,6101,601,1077,4423,500352896,41848,17991,23857,21173,10326,888,6564,2773,7794,1337,285,379,1157,321
2007-04-29,13425,4986,4140,326,4299,3973,202,863,2908,500355804,18808,9573,9235,8733,4131,710,3790,1199,5950,665,235,372,986,245
2007-05-06,33632,15587,5163,1166,12882,11716,942,2332,8442,500364246,48824,26873,21951,20262,10987,1968,7074,4676,7397,1639,1069,682,1182,384
2007-05-13,10864,4360,3308,261,3196,2935,231,660,2044,500366290,15132,6250,8882,8763,4035,428,1738,976,3567,705,165,445,811,377
2007-05-20,23834,12932,3047,1208,7855,6647,173,1249,5225,500371515,31290,15787,15503,17539,9139,1526,5420,2344,5371,1437,475,377,602,252
2007-05-27,44758,19994,5615,2625,19149,16524,1284,3399,11841,500383356,54378,24674,29704,23269,14637,2794,9036,3487,9849,2656,949,784,1131,334
2007-06-03,12382,6330,5397,728,655,-73,142,0,-215,500383141,18584,11041,7543,10321,3106,403,3106,990,3273,682,0,444,1046,289
2007-06-10,14471,6657,3411,790,4403,3613,194,919,2500,500385641,22716,12250,10466,11930,5713,500,4235,1557,6133,1110,360,201,660,327
2007-06-17,18611,6675,3904,819,8032,7213,280,1276,5657,500391298,23251,12755,10496,11203,4889,696,4147,1547,8211,1007,593,218,477,375
2007-06-24,14395,6861,7129,691,405,-286,90,0,-376,500390922,22342,11803,10539,10072,5593,891,3166,1240,7775,465,0,964,1294,430
2007-07-01,9317,5034,3171,293,1112,819,162,173,484,500391406,12190,8372,3818,6972,1741,270,2312,1280,2818,330,56,390,501,363
2007-07-08,17515,8238,7324,792,1953,1161,142,214,805,500392211,22364,10386,11978,12077,6158,1223,2899,2151,4648,437,82,878,1219,342
2007-07-15,10959,5631,3552,419,1776,1357,165,309,883,500393094,13350,7409,5941,6802,3294,538,2061,1063,2569,136,52,298,634,312
2007-07-22,19929,10499,5450,783,3980,3197,274,535,2388,500395482,20856,12948,7908,10885,4631,902,5737,2117,2674,365,273,480,650,340
2007-07-29,11236,4445,4457,565,2334,1769,273,414,1082,500396564,10142,5751,4391,4242,1986,352,2815,1327,3026,103,71,650,686,401
2007-08-05,29720,11662,6080,930,11978,11048,745,2397,7906,500404470,31772,21564,10208,15720,4767,786,4518,2404,3419,1233,723,343,666,332
2007-08-12,11526,5443,4193,377,1890,1513,102,297,1114,500405584,14486,7437,7049,6356,3474,703,2083,1438,4077,391,126,534,1035,292
2007-08-19,13687,5916,4847,780,2924,2144,194,422,1528,500407112,15959,8604,7355,7049,4306,861,3455,1289,3118,359,196,392,571,257
2007-08-26,21323,11045,4747,474,5531,5057,306,887,3864,500410976,25885,11041,14844,13778,8614,1009,5643,2971,6260,1048,458,256,659,365
2007-09-02,9328,4944,3307,368,1077,709,82,175,452,500411428,14798,8623,6175,8616,2581,718,2574,1312,4911,641,53,411,773,354
2007-09-09,16601,6984,6286,938,3331,2393,414,364,1615,500413043,19011,9248,9763,9140,4163,925,3218,1747,6623,932,105,522,1084,311
2007-09-16,25452,10114,4011,1130,11327,10197,577,2362,7258,500420301,30963,13874,17089,13672,8529,992,7372,2814,12278,1105,614,490,483,396
2007-09-23,7916,4006,4656,331,-746,-1077,77,0,-1154,500419147,7864,4430,3434,4166,1447,470,1844,1165,2012,224,0,562,734,325
2007-09-30,16218,6568,3420,486,6230,5744,230,1516,3998,500423145,15141,8474,6667,8695,3128,614,4127,1557,4904,336,488,354,401,341
2007-10-07,16764,8625,2055,565,6084,5519,128,1103,4288,500427433,24187,10225,13962,13295,5999,913,4015,1601,8695,457,623,263,267,349
2007-10-14,20771,9030,5027,1123,6714,5591,430,1204,3957,500431390,26991,16450,10541,15486,5557,504,3498,1894,8149,500,302,543,542,334
2007-10-21,9337,4515,9323,396,-4501,-4897,75,0,-4972,500426418,13375,7853,5522,6785,3257,540,2749,1191,2433,353,0,733,1545,365
2007-10-28,9124,3368,6755,370,-999,-1369,271,0,-1640,500424778,9169,4188,4981,5046,2985,186,1537,834,2977,455,0,834,1493,413
2007-11-04,19305,9165,5305,463,4835,4372,473,728,3171,500427949,25102,13576,11526,10744,5475,1207,3634,1619,7435,252,430,578,997,300
2007-11-11,17899,7882,4774,369,5243,4874,264,919,3691,500431640,19287,11883,7404,9058,3849,1044,4869,1243,3676,345,388,245,912,383
2007-11-18,17853,8343,5078,1045,4432,3387,347,612,2428,500434068,18918,10572,8346,9041,4768,615,4335,2106,6175,332,133,712,661,369
2007-11-25,18878,7242,5859,662,5777,5115,524,1165,3426,500437494,17143,8891,8252,8610,3495,596,5205,1359,6518,663,505,613,888,370
2007-12-02,12754,6344,3693,563,2717,2154,240,381,1533,500439027,12642,6279,6363,7406,3423,623,2900,1427,3480,305,204,505,838,407
2007-12-09,18729,9787,6574,434,2368,1934,175,417,1342,500440369,20911,12194,8717,12021,4200,1073,3868,2564,4318,592,85,909,744,368
2007-12-16,19574,7699,6060,926,5815,4889,283,928,3678,500444047,19218,13102,6116,8204,2699,606,5643,1805,3278,306,523,573,1386,391
2007-12-23,13346,4927,6261,765,2158,1393,348,278,767,500444814,21221,12765,8456,9222,4064,538,2074,801,6142,556,73,631,1080,405
2007-12-30,38214,13556,5532,1644,19126,17482,807,4573,12102,500456916,42648,18016,24632,20110,10227,1081,10640,2411,15339,603,1055,507,1248,345
2008-01-06,22332,10684,4903,559,6745,6186,475,1324,4387,500461303,22136,11914,10222,10142,5510,593,4123,1954,3295,693,422,466,724,387
2008-01-13,11693,5512,5857,506,324,-182,312,0,-494,500460809,12153,8109,4044,6355,1822,277,3243,1040,2309,169,0,817,883,362
2008-01-20,24938,11455,6003,1263,7480,6217,682,1126,4409,500465218,32704,14008,18696,18986,8643,689,4261,2690,5771,1361,511,773,1277,369
2008-01-27,13212,5237,4783,479,3192,2713,370,433,1910,500467128,12483,8696,3787,7396,1607,677,3132,1181,2610,408,107,300,1041,362
2008-02-03,27164,11631,3942,1499,11591,10092,200,2046,7846,500474974,40847,27969,12878,21678,7378,1700,7693,2099,5977,1591,1144,438,530,403
2008-02-10,31984,14997,5589,1470,11398,9928,595,2291,7042,500482016,50312,21306,29006,28559,14465,1390,7069,2402,15547,1345,456,836,1375,385
2008-02-17,14684,6598,8252,822,-166,-988,345,0,-1333,500480683,15752,10712,5040,7955,2593,668,3847,1159,3525,398,0,904,930,403
2008-02-24,30327,16606,3674,1363,10047,8684,726,2184,5774,500486457,36849,18754,18095,16275,9299,1074,8210,4943,5849,513,656,472,405,384
2008-03-02,24576,9272,3264,621,12040,11419,496,2399,8524,500494981,22499,14701,7798,11361,3759,975,6401,2042,2958,696,586,414,618,306
2008-03-09,29186,14273,5570,945,9343,8398,268,2028,6102,500501083,39357,20683,18674,20112,8189,920,8429,3998,9318,1204,409,474,1161,390
2008-03-16,45148,19453,4612,1267,21083,19816,1126,4279,14411,500515494,53715,28590,25125,29462,13794,2162,9798,5395,10426,1543,1975,402,1126,393
2008-03-23,19251,8387,5644,1085,5220,4135,443,854,2838,500518332,20965,12375,8590,9308,3654,1202,3388,1902,4028,831,261,691,907,404
2008-03-30,15750,7773,4930,794,3047,2253,113,443,1697,500520029,16455,10405,6050,7794,2546,541,2475,1990,4834,713,196,493,512,364
2008-04-06,14928,7292,5095,702,2541,1839,248,359,1232,500521261,20269,8313,11956,9583,6480,922,2791,1305,8521,811,124,545,970,335
2008-04-13,15356,8419,8694,492,-1757,-2249,144,0,-2393,500518868,18294,10573,7721,10828,3411,441,2633,2132,5729,288,0,1055,1247,428
2008-04-20,20571,7728,3008,563,9835,9272,276,2255,6741,500525609,21101,9622,11479,10314,5296,677,4807,1475,8822,736,660,384,496,385
2008-04-27,24199,8974,3732,1216,11493,10277,132,2780,7365,500532974,33452,16853,16599,18433,8217,548,4301,2466,7809,442,580,288,647,409
2008-05-04,23426,11593,5194,913,6639,5726,352,1144,4230,500537204,30350,15308,15042,16697,7369,988,3651,1885,6747,1147,365,336,570,388
2008-05-11,28953,13483,2959,841,12511,11670,543,2050,9077,500546281,43460,23500,19960,19692,10813,908,4499,3586,8324,1098,1234,234,512,403
2008-05-18,20698,8379,5196,924,7123,6199,424,1326,4449,500550730,20330,10170,10160,10457,5331,732,5686,1382,7265,311,431,524,852,383
2008-05-25,36410,13322,7747,787,15341,14554,786,3228,10540,500561270,52793,22818,29975,30560,15853,1222,8692,3759,19177,2348,752,652,1603,359
2008-06-01,18080,6638,4767,597,6675,6078,468,1104,4506,500565776,24796,11002,13794,12275,7488,531,3683,1299,5767,857,646,509,938,433
2008-06-08,58838,31116,6023,2280,21699,19419,611,4816,13992,500579768,57691,23655,34036,33981,15606,3599,16718,7722,16626,1395,1814,333,770,380
2008-06-15,25079,9740,3642,650,11697,11047,201,3021,7825,500587593,34769,18813,15956,15399,7411,1382,4026,2173,8829,390,435,368,477,421
2008-06-22,13642,5657,4574,810,3411,2601,359,616,1626,500589219,16494,11320,5174,6842,2523,509,4052,1159,2918,519,244,397,630,435
2008-06-29,12322,4871,4443,349,3008,2659,110,509,2040,500591259,19241,8364,10877,11127,5020,337,2987,1202,8096,903,244,460,564,386
2008-07-06,22558,9497,4859,569,8202,7633,663,1865,5105,500596364,22538,15413,7125,12836,4254,732,4004,2774,3493,763,337,448,965,357
2008-07-13,16727,6087,7738,471,2902,2431,436,500,1495,500597859,22581,14000,8581,13515,4829,824,4213,951,6472,1103,110,607,1928,541
2008-07-20,23939,10864,6248,1215,6827,5612,419,1170,4023,500601882,27946,16523,11423,14976,4945,1164,6332,3127,5948,432,480,877,1236,395
2008-07-27,21396,7778,3852,792,9766,8974,632,1953,6389,500608271,33587,19937,13650,19727,5475,743,4587,1877,9189,1099,818,264,736,454
2008-08-03,16938,8640,5679,722,2619,1897,126,469,1302,500609573,19157,12414,6743,10831,2755,561,4730,2342,5159,803,96,671,917,521
2008-08-10,12254,4862,5957,255,1435,1180,154,234,792,500610365,19282,8331,10951,10969,4915,462,2115,1009,8255,598,60,849,875,466
2008-08-17,9262,4242,7009,198,-1989,-2187,194,0,-2381,500607984,14180,7819,6361,7286,2690,330,1777,937,2089,193,0,728,1659,413
2008-08-24,14044,7387,8838,531,-2181,-2712,193,0,-2905,500605079,15298,9318,5980,7289,3030,1066,2304,2071,2409,510,0,1216,2168,426
